Taxa Group,Taxa Subgroup,Taxon Final,Common Name Final,State Status,State List Date,Federal Status,Federal List Date,Notes Draft,Notes Final,Notes Final_1
Invertebrates,Insecta - Orthoptera,Trimerotropis infantilis,Zayante band-winged grasshopper,NA,NA,FE,19970224,NA,NA,NA
Invertebrates,Insecta - Coleoptera,Cicindela ohlone,Ohlone tiger beetle,NA,NA,FE,20011003,NA,NA,NA
Invertebrates,Insecta - Coleoptera,Desmocerus californicus dimorphus,Valley elderberry longhorn beetle,NA,NA,FT,19800915,NA,NA,NA
Invertebrates,Insecta - Coleoptera,Dinacoma caseyi,Casey’s June beetle,NA,NA,FE,20111024,NA,NA,NA
Invertebrates,Insecta - Coleoptera,Elaphrus viridis,Delta green ground beetle,NA,NA,FT,19800915,NA,NA,NA
Invertebrates,Insecta - Coleoptera,Polyphylla barbata,Mount Hermon June beetle,NA,NA,FE,19970224,NA,NA,NA
Invertebrates,Insecta - Diptera,Rhaphiomidas terminatus abdominalis,Delhi Sands flower- loving fly,NA,NA,FE,19930923,NA,NA,NA
Invertebrates,Insecta - Lepidoptera,Apodemia mormo langei,Lange’s metalmark butterfly,NA,NA,FE,19760608,NA,NA,NA
Invertebrates,Insecta - Lepidoptera,Callophrys mossii bayensis,San Bruno elfin butterfly,NA,NA,FE,19760608,Synonymous with Incisalia fotis bayensis,Synonymous with Incisalia fotis bayensis and Callophrys fotis bayensis .,Synonymous with Incisalia fotis bayensis and Callophrys fotis bayensis .
Invertebrates,Insecta - Lepidoptera,Danaus plexippus pop. 1 Euphilotes battoides,Monarch - California overwintering butterfly,FC,NA,NA,20201217,NA,NA,NA
Invertebrates,Insecta - Lepidoptera,Euphilotes battoides allyni,El Segundo blue butterfly,FE,NA,NA,19760608,NA,NA,NA
Invertebrates,Insecta - Lepidoptera,Euphilotes enoptes smithi,Smith’s blue butterfly,FE,NA,NA,19760608,Synonymous with Philotes enoptes smithi  and,Synonymous with Philotes enoptes smithi  and Shijimiaeoides enoptes smithi .,Synonymous with Philotes enoptes smithi  and Shijimiaeoides enoptes smithi .
Invertebrates,Insecta - Lepidoptera,Euphydryas editha bayensis,Bay checkerspot butterfly,FT,NA,NA,19871019,NA,NA,NA
Invertebrates,Insecta - Lepidoptera,Euphydryas editha quino,Quino checkerspot butterfly,FE,NA,NA,19970116,Synonymous with Euphydryas editha wrighti,NA,Synonymous with Euphydryas editha wrighti
Invertebrates,Insecta - Lepidoptera,Euproserpinus euterpe,Kern primrose sphinx moth,FT,NA,NA,19800509,NA,NA,NA
Invertebrates,Insecta - Lepidoptera,Glaucopsyche lygdamus palosverdesensis,Palos Verdes blue butterfly,FE,NA,NA,19800801,NA,NA,NA
Invertebrates,Insecta - Lepidoptera,Lycaena hermes,Hermes copper butterfly,FPT,NA,NA,20200108,NA,NA,NA
Invertebrates,Insecta - Lepidoptera,Plebejus icarioides missionensis,Mission blue butterfly,FE,NA,NA,19760608,Synonymous with Icaricia icarioides,Synonymous with Icaricia icarioides and missionensis .,Synonymous with Icaricia icarioides and missionensis .
Invertebrates,Insecta - Lepidoptera,Plebejus idas lotis,Lotis blue butterfly,FE,NA,NA,19760608,Synonymous with Plebejus anna lotis  and,NA,Synonymous with Plebejus anna lotis  and Lycaeides argyrognomon lotis .
Invertebrates,Insecta - Lepidoptera (butterflies and moths),Pseudocopaeodes eunus obscurus,Carson wandering skipper,NA,NA,FE,20020807,NA,NA,NA
Invertebrates,Insecta - Lepidoptera (butterflies and moths),Pyrgus ruralis lagunae,Laguna Mountains skipper,NA,NA,FE,19970116,NA,NA,NA
Invertebrates,Insecta - Lepidoptera (butterflies and moths),Speyeria callippe callippe,Callippe silverspot butterfly,NA,NA,FE,19971205,NA,NA,NA
Invertebrates,Insecta - Lepidoptera,Speyeria zerene behrensii,Behren’s silverspot butterfly,NA,NA,FE,19971205,NA,NA,NA
Invertebrates,Insecta - Lepidoptera (butterflies and moths),Speyeria zerene hippolyta,Oregon silverspot butterfly,NA,NA,FT,19801015,NA,NA,NA
Invertebrates,Insecta - Lepidoptera,Speyeria zerene myrtleae,Myrtle’s silverspot butterfly,NA,NA,FE,19920622,The USFWS and others have not yet determined if the taxonomic expansion by Emmel and Emmel (1998) into S. z. myrtleae and S. z. puntareyes  is warranted. Speyereia zerene  along the coast of Marin and Sonoma counties are Federally Endangered under the subspecies concept in the 1992 listing.,NA,The USFWS and others have not yet determined if the taxonomic expansion by Emmel and Emmel (1998) into S. z. myrtleae and S. z. puntareyes  is warranted. Speyereia zerene  along the coast of Marin and Sonoma counties are Federally Endangered under the subspecies concept in the 1992 listing.
Invertebrates,Insecta - Hymenoptera,Bombus crotchii,Crotch bumble bee,SC,20190618,NA,NA,NA,NA,NA
Invertebrates,Insecta - Hymenoptera,Bombus franklini,Franklin's bumble bee,SC,20190618,FPE,20190813,NA,NA,NA
