OBJECTID,JOIN_FID,INCIDENT,FIRE_YEARn,GISAcres,TotalBird,year,month,day,individualCount,genus,specificEpithet,species,vernacularName,collectionCode
1,159,T e c o p a,2017,26.99327,753,2017,1,8,3,Anas,platyrhynchos,Anas platyrhynchos,Mallard,EBIRD
2,159,T e c o p a,2017,26.99327,753,2009,4,29,1,Circus,hudsonius,Circus cyaneus,Northern Harrier,EBIRD
3,159,T e c o p a,2017,26.99327,753,2015,5,21,2,Anas,strepera,Anas strepera,Gadwall,EBIRD
4,159,T e c o p a,2017,26.99327,753,2009,4,29,1,Hirundo,rustica,Hirundo rustica,Barn Swallow,EBIRD
5,159,T e c o p a,2017,26.99327,753,2019,5,27,1,Petrochelidon,pyrrhonota,Petrochelidon pyrrhonota,Cliff Swallow,EBIRD
6,159,T e c o p a,2017,26.99327,753,2015,5,21,3,Anas,strepera,Anas strepera,Gadwall,EBIRD
7,159,T e c o p a,2017,26.99327,753,2015,7,4,1,Ardea,alba,Ardea alba,Great Egret,EBIRD
8,159,T e c o p a,2017,26.99327,753,2009,4,19,45,Euphagus,cyanocephalus,Euphagus cyanocephalus,Brewer's Blackbird,EBIRD
9,159,T e c o p a,2017,26.99327,753,2017,5,22,2,Sayornis,saya,Sayornis saya,Say's Phoebe,EBIRD
10,386,R E E D,2011,5899.568,34,2017,9,10,NA,Lanius,ludovicianus,Lanius ludovicianus,Loggerhead Shrike,EBIRD
11,342,C H O C T A W,2001,600.9371,23,2018,12,19,3,Falco,sparverius,Falco sparverius,American Kestrel,EBIRD
12,159,T e c o p a,2017,26.99327,753,2019,6,2,1,Anas,platyrhynchos,Anas platyrhynchos,Mallard,EBIRD
13,342,C H O C T A W,2001,600.9371,23,2019,1,22,10,Passerculus,sandwichensis,Passerculus sandwichensis,Savannah Sparrow,EBIRD
14,386,R E E D,2011,5899.568,34,2018,5,5,4,Melozone,crissalis,Melozone crissalis,California Towhee,EBIRD
15,159,T e c o p a,2017,26.99327,753,2009,4,21,3,Charadrius,vociferus,Charadrius vociferus,Killdeer,EBIRD
16,159,T e c o p a,2017,26.99327,753,2015,5,21,1,Ardea,alba,Ardea alba,Great Egret,EBIRD
17,159,T e c o p a,2017,26.99327,753,2015,5,21,2,Plegadis,chihi,Plegadis chihi,White-faced Ibis,EBIRD
18,159,T e c o p a,2017,26.99327,753,2018,6,3,1,Mergus,serrator,Mergus serrator,Red-breasted Merganser,EBIRD
19,159,T e c o p a,2017,26.99327,753,2009,4,29,4,Zenaida,macroura,Zenaida macroura,Mourning Dove,EBIRD
20,159,T e c o p a,2017,26.99327,753,2009,4,27,2,Haemorhous,mexicanus,Haemorhous mexicanus,House Finch,EBIRD
21,159,T e c o p a,2017,26.99327,753,2009,4,30,1,Larus,delawarensis,Larus delawarensis,Ring-billed Gull,EBIRD
22,159,T e c o p a,2017,26.99327,753,2009,4,27,3,Egretta,thula,Egretta thula,Snowy Egret,EBIRD
23,159,T e c o p a,2017,26.99327,753,2009,4,25,3,Egretta,thula,Egretta thula,Snowy Egret,EBIRD
24,159,T e c o p a,2017,26.99327,753,2009,4,27,1,Podilymbus,podiceps,Podilymbus podiceps,Pied-billed Grebe,EBIRD
25,159,T e c o p a,2017,26.99327,753,2014,5,15,6,Actitis,macularius,Actitis macularius,Spotted Sandpiper,EBIRD
26,159,T e c o p a,2017,26.99327,753,2009,4,26,6,Agelaius,phoeniceus,Agelaius phoeniceus,Red-winged Blackbird,EBIRD
27,159,T e c o p a,2017,26.99327,753,2009,4,19,1,Gallinago,delicata,Gallinago delicata,Wilson's Snipe,EBIRD
28,190,T r a v e r t i n e,2010,21.78754,1,2021,3,6,NA,Zonotrichia,leucophrys,Zonotrichia leucophrys,NA,Observations
29,265,T r a v e r t i n e,2010,21.77031,1,2021,3,6,NA,Zonotrichia,leucophrys,Zonotrichia leucophrys,NA,Observations
30,250,G o l d e n,2007,1988.383,14,2010,6,1,15,Artemisiospiza,belli,Artemisiospiza belli,Bell's Sparrow,EBIRD
31,159,T e c o p a,2017,26.99327,753,2018,3,8,1,Corvus,corax,Corvus corax,Common Raven,EBIRD
32,159,T e c o p a,2017,26.99327,753,2018,5,5,1,Eremophila,alpestris,Eremophila alpestris,Horned Lark,EBIRD
33,159,T e c o p a,2017,26.99327,753,2017,1,8,2,Tringa,melanoleuca,Tringa melanoleuca,Greater Yellowlegs,EBIRD
34,386,R E E D,2011,5899.568,34,2018,5,5,2,Ardea,alba,Ardea alba,Great Egret,EBIRD
35,159,T e c o p a,2017,26.99327,753,2009,4,22,2,Stelgidopteryx,serripennis,Stelgidopteryx serripennis,Northern Rough-winged Swallow,EBIRD
36,159,T e c o p a,2017,26.99327,753,2015,7,4,2,Chordeiles,acutipennis,Chordeiles acutipennis,Lesser Nighthawk,EBIRD
37,159,T e c o p a,2017,26.99327,753,2009,4,25,2,Streptopelia,decaocto,Streptopelia decaocto,Eurasian Collared-Dove,EBIRD
38,159,T e c o p a,2017,26.99327,753,1987,11,18,2,Limnodromus,scolopaceus,Limnodromus scolopaceus,Long-billed Dowitcher,EBIRD
39,159,T e c o p a,2017,26.99327,753,2009,4,21,2,Agelaius,phoeniceus,Agelaius phoeniceus,Red-winged Blackbird,EBIRD
40,386,R E E D,2011,5899.568,34,1983,6,10,NA,Agelaius,tricolor,Agelaius tricolor,Tricolored Blackbird,EBIRD_TX
41,386,R E E D,2011,5899.568,34,2018,5,5,2,Cathartes,aura,Cathartes aura,Turkey Vulture,EBIRD
42,159,T e c o p a,2017,26.99327,753,2015,3,28,2,Ardea,herodias,Ardea herodias,Great Blue Heron,EBIRD
43,159,T e c o p a,2017,26.99327,753,2018,6,3,5,Recurvirostra,americana,Recurvirostra americana,American Avocet,EBIRD
44,159,T e c o p a,2017,26.99327,753,2017,4,28,2,Eremophila,alpestris,Eremophila alpestris,Horned Lark,EBIRD
45,159,T e c o p a,2017,26.99327,753,2002,5,24,5,Anas,platyrhynchos,Anas platyrhynchos,Mallard,EBIRD
46,159,T e c o p a,2017,26.99327,753,2009,4,22,2,Xanthocephalus,xanthocephalus,Xanthocephalus xanthocephalus,Yellow-headed Blackbird,EBIRD
47,159,T e c o p a,2017,26.99327,753,2002,5,24,15,Chordeiles,acutipennis,Chordeiles acutipennis,Lesser Nighthawk,EBIRD
48,386,R E E D,2011,5899.568,34,2018,5,5,4,Zonotrichia,leucophrys,Zonotrichia leucophrys,White-crowned Sparrow,EBIRD
49,159,T e c o p a,2017,26.99327,753,2009,4,20,5,Tringa,melanoleuca,Tringa melanoleuca,Greater Yellowlegs,EBIRD
50,159,T e c o p a,2017,26.99327,753,2009,4,21,7,Anas,cyanoptera,Anas cyanoptera,Cinnamon Teal,EBIRD
51,118,M O F F A T,2018,1253.925,1323,2003,6,27,NA,Ptilinopus,porphyraceus,Ptilinopus porphyraceus,NA,PRBO-PC
52,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
53,118,M O F F A T,2018,1253.925,1323,2002,6,27,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
54,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
55,118,M O F F A T,2018,1253.925,1323,2002,6,27,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
56,118,M O F F A T,2018,1253.925,1323,2003,6,27,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
57,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
58,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
59,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
60,118,M O F F A T,2018,1253.925,1323,2003,6,7,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
61,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
62,118,M O F F A T,2018,1253.925,1323,2002,6,11,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
63,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
64,118,M O F F A T,2018,1253.925,1323,2003,5,26,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
65,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
66,118,M O F F A T,2018,1253.925,1323,2003,6,7,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
67,118,M O F F A T,2018,1253.925,1323,2002,5,26,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
68,118,M O F F A T,2018,1253.925,1323,2003,6,7,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
69,118,M O F F A T,2018,1253.925,1323,2002,6,11,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
70,99,R I V E R,2013,406.8415,302,2002,6,26,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
71,99,R I V E R,2013,406.8415,302,2005,6,11,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
72,99,R I V E R,2013,406.8415,302,2002,6,10,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
73,99,R I V E R,2013,406.8415,302,2003,5,25,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
74,99,R I V E R,2013,406.8415,302,2003,5,25,NA,Stelgidopteryx,serripennis,Stelgidopteryx serripennis,NA,PRBO-PC
75,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Sturnella,neglecta,Sturnella neglecta,NA,PRBO-PC
76,118,M O F F A T,2018,1253.925,1323,2002,6,27,NA,Sturnella,neglecta,Sturnella neglecta,NA,PRBO-PC
77,118,M O F F A T,2018,1253.925,1323,2003,5,26,NA,Sturnella,neglecta,Sturnella neglecta,NA,PRBO-PC
78,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Sturnella,neglecta,Sturnella neglecta,NA,PRBO-PC
79,118,M O F F A T,2018,1253.925,1323,2005,6,6,NA,Sturnella,neglecta,Sturnella neglecta,NA,PRBO-PC
80,118,M O F F A T,2018,1253.925,1323,2002,5,26,NA,Sturnus,vulgaris,Sturnus vulgaris,NA,PRBO-PC
81,118,M O F F A T,2018,1253.925,1323,2002,5,26,NA,Sturnus,vulgaris,Sturnus vulgaris,NA,PRBO-PC
82,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Sturnus,vulgaris,Sturnus vulgaris,NA,PRBO-PC
83,118,M O F F A T,2018,1253.925,1323,2003,5,26,NA,Sturnus,vulgaris,Sturnus vulgaris,NA,PRBO-PC
84,118,M O F F A T,2018,1253.925,1323,2003,5,26,NA,Sturnus,vulgaris,Sturnus vulgaris,NA,PRBO-PC
85,118,M O F F A T,2018,1253.925,1323,2003,6,7,NA,NA,NA,NA,NA,PRBO-PC
86,118,M O F F A T,2018,1253.925,1323,2002,6,27,NA,Thryomanes,bewickii,Thryomanes bewickii,NA,PRBO-PC
87,99,R I V E R,2013,406.8415,302,2002,6,26,NA,Thryomanes,bewickii,Thryomanes bewickii,NA,PRBO-PC
88,118,M O F F A T,2018,1253.925,1323,2002,6,27,NA,Callipepla,californica,Callipepla californica,NA,PRBO-PC
89,118,M O F F A T,2018,1253.925,1323,2003,6,7,NA,Tyrannus,verticalis,Tyrannus verticalis,NA,PRBO-PC
90,118,M O F F A T,2018,1253.925,1323,2002,6,27,NA,Tyrannus,verticalis,Tyrannus verticalis,NA,PRBO-PC
91,118,M O F F A T,2018,1253.925,1323,2003,6,29,NA,Tyrannus,verticalis,Tyrannus verticalis,NA,PRBO-PC
92,99,R I V E R,2013,406.8415,302,2005,6,24,NA,Tyrannus,verticalis,Tyrannus verticalis,NA,PRBO-PC
93,99,R I V E R,2013,406.8415,302,2005,6,24,NA,Tyrannus,verticalis,Tyrannus verticalis,NA,PRBO-PC
94,118,M O F F A T,2018,1253.925,1323,2005,6,6,NA,Haemorhous,mexicanus,Haemorhous mexicanus,NA,PRBO-PC
95,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Zenaida,macroura,Zenaida macroura,NA,PRBO-PC
96,118,M O F F A T,2018,1253.925,1323,2002,5,26,NA,Zenaida,macroura,Zenaida macroura,NA,PRBO-PC
97,118,M O F F A T,2018,1253.925,1323,2003,6,27,NA,Zenaida,macroura,Zenaida macroura,NA,PRBO-PC
98,118,M O F F A T,2018,1253.925,1323,2002,6,11,NA,Cathartes,aura,Cathartes aura,NA,PRBO-PC
99,118,M O F F A T,2018,1253.925,1323,2002,6,27,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
100,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
101,118,M O F F A T,2018,1253.925,1323,2003,5,26,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
102,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
103,118,M O F F A T,2018,1253.925,1323,2003,5,26,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
104,118,M O F F A T,2018,1253.925,1323,2003,6,27,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
105,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
106,118,M O F F A T,2018,1253.925,1323,2003,5,26,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
107,118,M O F F A T,2018,1253.925,1323,2003,6,7,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
108,118,M O F F A T,2018,1253.925,1323,2003,6,7,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
109,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
110,118,M O F F A T,2018,1253.925,1323,2003,5,26,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
111,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
112,118,M O F F A T,2018,1253.925,1323,2002,5,26,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
113,118,M O F F A T,2018,1253.925,1323,2003,6,27,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
114,118,M O F F A T,2018,1253.925,1323,2002,6,11,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
115,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
116,118,M O F F A T,2018,1253.925,1323,2002,6,27,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
117,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
118,118,M O F F A T,2018,1253.925,1323,2003,6,29,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
119,99,R I V E R,2013,406.8415,302,2002,6,26,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
120,99,R I V E R,2013,406.8415,302,2003,6,6,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
121,99,R I V E R,2013,406.8415,302,2005,6,24,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
122,99,R I V E R,2013,406.8415,302,2003,6,6,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
123,99,R I V E R,2013,406.8415,302,2005,6,24,NA,Agelaius,phoeniceus,Agelaius phoeniceus,NA,PRBO-PC
124,118,M O F F A T,2018,1253.925,1323,2003,6,27,NA,Chordeiles,acutipennis,Chordeiles acutipennis,NA,PRBO-PC
125,118,M O F F A T,2018,1253.925,1323,2002,6,11,NA,Chordeiles,minor,Chordeiles minor,NA,PRBO-PC
126,118,M O F F A T,2018,1253.925,1323,2002,6,27,NA,Chordeiles,minor,Chordeiles minor,NA,PRBO-PC
127,118,M O F F A T,2018,1253.925,1323,2002,5,26,NA,Cistothorus,palustris,Cistothorus palustris,NA,PRBO-PC
128,99,R I V E R,2013,406.8415,302,2003,5,25,NA,Cistothorus,palustris,Cistothorus palustris,NA,PRBO-PC
129,118,M O F F A T,2018,1253.925,1323,2002,6,27,NA,Colaptes,auratus,Colaptes auratus,NA,PRBO-PC
130,118,M O F F A T,2018,1253.925,1323,2002,5,26,NA,Colaptes,auratus,Colaptes auratus,NA,PRBO-PC
131,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Colaptes,auratus,Colaptes auratus,NA,PRBO-PC
132,99,R I V E R,2013,406.8415,302,2002,6,26,NA,Colaptes,auratus,Colaptes auratus,NA,PRBO-PC
133,118,M O F F A T,2018,1253.925,1323,2002,5,26,NA,Contopus,sordidulus,Contopus sordidulus,NA,PRBO-PC
134,118,M O F F A T,2018,1253.925,1323,2002,5,26,NA,Corvus,corax,Corvus corax,NA,PRBO-PC
135,99,R I V E R,2013,406.8415,302,2002,6,10,NA,Corvus,corax,Corvus corax,NA,PRBO-PC
136,99,R I V E R,2013,406.8415,302,2005,6,24,NA,Corvus,corax,Corvus corax,NA,PRBO-PC
137,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Ardea,herodias,Ardea herodias,NA,PRBO-PC
138,118,M O F F A T,2018,1253.925,1323,2002,5,26,NA,Bombycilla,cedrorum,Bombycilla cedrorum,NA,PRBO-PC
139,118,M O F F A T,2018,1253.925,1323,2002,6,11,NA,Euphagus,cyanocephalus,Euphagus cyanocephalus,NA,PRBO-PC
140,118,M O F F A T,2018,1253.925,1323,2002,6,11,NA,Euphagus,cyanocephalus,Euphagus cyanocephalus,NA,PRBO-PC
141,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Euphagus,cyanocephalus,Euphagus cyanocephalus,NA,PRBO-PC
142,118,M O F F A T,2018,1253.925,1323,2005,6,6,NA,Falco,sparverius,Falco sparverius,NA,PRBO-PC
143,118,M O F F A T,2018,1253.925,1323,2002,6,27,NA,Geothlypis,trichas,Geothlypis trichas,NA,PRBO-PC
