OBJECTID,JOIN_FID,INCIDENT,FIRE_YEARn,GISAcres,TotalObservations,year,month,day,individualCount,species,verbatimScientificName,collectionCode
1,93,VERBENIA,2004,3831.371,2,2014,4,6,NA,Gopherus agassizii,Gopherus agassizii,Observations
2,456,Stewart,2012,10630.18,18,2018,11,3,NA,Puma concolor,Puma concolor,Observations
3,456,Stewart,2012,10630.18,18,2018,10,13,NA,Puma concolor,Puma concolor,Observations
4,456,Stewart,2012,10630.18,18,2019,7,20,NA,Puma concolor,Puma concolor,Observations
5,291,PINES,2002,61691.24,14,2014,4,27,NA,Ovis canadensis,Ovis canadensis nelsoni,Observations
6,1099,BROWN,2008,3786.915,3,2015,1,31,NA,Ammospermophilus nelsoni,Ammospermophilus nelsoni,Observations
7,456,Stewart,2012,10630.18,18,2018,10,13,NA,Puma concolor,Puma concolor,Observations
8,343,EAGLE,2011,13992.99,11,2016,4,24,NA,Ovis canadensis,Ovis canadensis nelsoni,Observations
9,1281,Cotton,2010,2037.958,1,2013,4,6,NA,Ammospermophilus nelsoni,Ammospermophilus nelsoni,Observations
10,291,PINES,2002,61691.24,14,2015,5,3,NA,Ovis canadensis,Ovis canadensis nelsoni,Observations
11,707,Wildhorse,2005,63771.3,31,2012,4,28,NA,Ovis canadensis,Ovis canadensis nelsoni,Observations
12,299,PARADISE,2005,3081.726,23,2010,10,16,NA,Danaus plexippus,Danaus plexippus,Observations
13,1099,BROWN,2008,3786.915,3,2020,1,4,NA,Agelaius tricolor,Agelaius tricolor,Observations
14,343,EAGLE,2011,13992.99,11,2019,2,10,NA,Ovis canadensis,Ovis canadensis nelsoni,Observations
15,1313,Dome,2020,44211.08459,125,2004,5,16,2,Colaptes chrysoides,Colaptes chrysoides,EBIRD
16,291,PINES,2002,61691.24,14,2017,3,4,NA,Ovis canadensis,Ovis canadensis nelsoni,Observations
17,343,EAGLE,2011,13992.99,11,2006,12,30,NA,Ovis canadensis,Ovis canadensis nelsoni,Observations
18,360,MOUNTAIN,2013,27523.67,3,2021,3,13,NA,Ovis canadensis,Ovis canadensis nelsoni,Observations
19,450,Mountain,2013,27301.37,3,2021,3,13,NA,Ovis canadensis,Ovis canadensis nelsoni,Observations
20,663,Mountain,2013,27523.67,3,2021,3,13,NA,Ovis canadensis,Ovis canadensis nelsoni,Observations
21,358,BANNER FIRE,2012,5320.116,2,2018,3,7,NA,Puma concolor,Puma concolor,Observations
22,1315,Mineral,2020,29666.84215,1,2020,2,6,1,Haliaeetus leucocephalus,Haliaeetus leucocephalus,EBIRD
23,1312,Lake,2020,30999.28856,1,2015,3,17,NA,Agelaius tricolor,Agelaius tricolor,Observations
24,707,Wildhorse,2005,63771.3,31,2009,5,17,NA,Ovis canadensis,Ovis canadensis nelsoni,Observations
25,1264,Wash,2010,947.4305,1,2021,5,24,NA,Ammospermophilus nelsoni,Ammospermophilus nelsoni,Observations
26,432,View,2012,376.1476,1,2021,3,7,NA,Gopherus agassizii,Gopherus agassizii,Observations
27,358,BANNER FIRE,2012,5320.116,2,2021,2,2,NA,Puma concolor,Puma concolor,Observations
28,668,Tram,2013,59.22004,1,2004,4,23,NA,Uma inornata,Uma inornata,Observations
29,299,PARADISE,2005,3081.726,23,2020,10,3,NA,Empidonax traillii,Empidonax traillii,Observations
30,1316,Del Puerto,2020,390647.2556,15,2021,4,3,NA,Agelaius tricolor,Agelaius tricolor,Observations
31,299,PARADISE,2005,3081.726,23,2018,7,2,NA,Danaus plexippus,Danaus plexippus,Observations
32,397,Draper,2017,754.3,3,2011,6,15,2,Melanerpes uropygialis,Melanerpes uropygialis,EBIRD
33,343,EAGLE,2011,13992.99,11,2010,1,24,NA,Ovis canadensis,Ovis canadensis nelsoni,Observations
34,1313,Dome,2020,44211.08459,125,2019,6,19,2,Colaptes chrysoides,Colaptes chrysoides,EBIRD
35,299,PARADISE,2005,3081.726,23,2019,9,9,NA,Puma concolor,Puma concolor,Observations
36,1093,BASALT,2004,410.184,22,2016,1,30,1,Buteo swainsoni,Buteo swainsoni,EBIRD
37,1313,Dome,2020,44211.08459,125,2010,7,16,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
38,643,Old,2003,91428,6,2010,2,25,50,Agelaius tricolor,Agelaius tricolor,EBIRD
39,1285,School,2014,223.7788,4,2012,10,8,1,Gymnogyps californianus,Gymnogyps californianus,EBIRD
40,1310,School,2014,223.9,4,2012,10,8,1,Gymnogyps californianus,Gymnogyps californianus,EBIRD
41,1313,Dome,2020,44211.08459,125,2012,4,15,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
42,299,PARADISE,2005,3081.726,23,1991,8,26,1,Empidonax traillii,Empidonax traillii,EBIRD_CAN
43,343,EAGLE,2011,13992.99,11,2020,9,5,NA,Ovis canadensis,Ovis canadensis nelsoni,Observations
44,707,Wildhorse,2005,63771.3,31,2015,10,6,NA,Gopherus agassizii,Gopherus agassizii,Observations
45,1313,Dome,2020,44211.08459,125,2012,4,8,3,Colaptes chrysoides,Colaptes chrysoides,EBIRD
46,1313,Dome,2020,44211.08459,125,2018,2,9,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
47,1316,Del Puerto,2020,390647.2556,15,2014,6,6,1,Haliaeetus leucocephalus,Haliaeetus leucocephalus,EBIRD
